	utterance	feats
3062	they also care about their children	children they care  inform
3063	they are also affectionate about their children 	children  they are  inform
3064	there was some celebration in the campus 	celebration campus    commissive
3065	where i have seen many mothers came with their sons and the girls also 	i mothers sons and girls  i seen mothers came  commissive
3066	they were dressing like the indian mothers were dressed 	mothers  they dressing  commissive
3067	yeah a mother is mother whether she is in europe us or in india 	yeah a mother mother or  mother is she is  commissive
3068	 but you will see	but you see  contradict
3069	that	turnmanagement
3070	there is not a pressure a cultural ethos who is pressurizing	a pressure a ethos who who is  interactionstructuring
3071	that you have to obey 	you have  inform
3072	you can not have conflicts 	conflicts  you have conflicts inform
3073	you have to become like ama 	you have  inform
3074	yeah	yeah   commissive
3075	and	and   turnmanagement
3076	we do nt know if he really existed its all in the mythology 	mythology  we know he existed all commissive
3077	yes that s the thing 	yes s thing  that s  commissive
3078	here you have a love affection you have accountability responsibility	a love affection accountability responsibility you have you have love accountability inform
3079	and	and   turnmanagement
3080	you are not bound to	inform
3081	and i think the same thing should be in india 	and i thing  i think thing be  commissive
3082	we are learning only the things that we are shown 	things  we learning things that inform
3083	we do not evaluate	we evaluate  inform
3084	we do not have the sense to evaluate the wrong from the right 	sense wrong right  we have sense wrong inform
3085	yes	yes   commissive
3086	the many things that i felt very pathetic this is 21st century and we are fighting for ram mandir 	things i century and ram mandir  things is i felt this is we fighting that directive
3087	and cow meat and this	and cow meat and   commissive
3088	and we are fighting for beef pork and chicken 	and beef pork and chicken  we fighting  commissive
3089	i was pretty annoyed at these things 	i things  i was  commissive
3090	common lets talk about something that is more important 	lets something  lets talk that is  commissive
3091	your family 	family    commissive
3092	your children mental health 	children health    inform
3093	how your children are doing 	children  children doing  inform
3094	not what is happening in the temples 	what temples  what happening  directive
3095	they are just piece of lands  	piece lands   they are  inform
3096	 i always think about one thing	i thing i think thing turnmanagement
3097	we have to see that the things which were happening over the era  	things era   we have which happening that things interactionstructuring
3098	they have built 500 years ago 	years  they built  inform
3099	because the people were thinking	people people thinking  inform
3100	that	turnmanagement
3101	this the thing that we can do in our society	thing society we do that inform
3102	and	and   turnmanagement
3103	they have built the society in that kind 	society kind  they built society inform
3104	it is not like that 500 years ago that they have created is valid for now 	years  it is they created  inform
3105	both technology has transformed 	technology  technology transformed  inform
3106	many of the things have transformed 	things  many transformed  inform
3107	education has transformed 	education  education transformed  inform
3108	its fine you can use the things	fine things you use things inform
3109	and you have change your self 	and self  you change self inform
3110	so keep the good values that you are having from previous generation	values generation you having values that directive
3111	and remove the bad things from your practices 	and things practices   things directive
3112	from your rituals 	rituals    inform
3113	and many things	and things   inform
3114	 we need to decide 	we need  inform
3115	we need to change 	we need  inform
3116	i agree with your on all these things	i things i agree  commissive
3117	because	turnmanagement
3118	i think very similar 	i  i think  commissive
3119	and why i am always frustrated 	and i  i am  inform
3120	i always used to have a conflict of opinion	i a conflict opinion i used conflict inform
3121	with my friends	friends   inform
3122	and	and   turnmanagement
3123	basically with my family	family   inform
3124	yes	yes   commissive
3125	many of the people which belongs to my generation	people generation which belongs  inform
3126	yes that s very strange	yes s that s  commissive
3127	because	turnmanagement
3128	we studied in the same school 	school  we studied  inform
3129	same college 	college    inform
3130	same envious 	inform
3131	but somehow they are more constraining	but they are  contradict
3132	what needs to be done and what not	what and what what needs  inform
3133	like they have a very narrow minded thinking still 	a thinking  they have thinking directive
3134	become they want to follow what their parents did	what parents they want parents did what directive
